group,220090_at,226067_at,205900_at,230835_at,226147_s_at,204623_at,223720_at,229659_s_at,202018_s_at,212768_s_at,213432_at,207802_at,205979_at,224328_s_at,206642_at,1560712_at,220267_at,217022_s_at,220620_at,213240_s_at
CIN1,14.103020659999999,7.975677875500001,12.950589255,14.713033565,10.254799356500001,8.6272935875,11.35736762,10.266202629999999,7.3043379285,11.06956505,6.546023808,9.647923273,7.7092393595,6.692509537499999,11.854311365000001,12.04938889,7.897258003,12.903791095,7.9950121334999995,14.85068348
CIN2,14.289775769999999,10.3670975645,13.32374268,14.388816005,12.896503225,9.5244142685,10.87215061,11.6206762,9.2597855535,13.50951871,9.4641731435,11.63422757,10.268468604999999,8.4279295845,8.9643144405,12.628475739999999,13.016780475000001,12.784723379999999,7.212070754,14.381801865
CIN3,11.809958195,9.733193603,11.992324369999999,12.59640952,10.56320397,7.983140504,8.305123932499999,10.114914290000002,8.8542333945,12.33275793,4.501219915,7.466500905,6.6050550335,5.2069213915,3.04811183,9.9321489105,10.970491105,13.085369,3.7888886265,14.165345745
Cancer,1.545144056,1.6441293049999999,3.29036316,5.45487788,2.59789694,2.0768125625,2.332703295,3.204841927,2.325343173,5.701672001,2.078951625,3.479307582,2.730909063,3.6432396025,2.9813412765000002,3.2828179764999996,4.223143319,11.53575972,1.7860212805,9.092349619
Normal,14.453807855,7.6332253560000005,13.910502820000001,14.925127725,10.51801547,7.8936829515,13.262720865,8.980450753,3.672163346,11.367954845,6.711077616000001,13.741733115,7.04208352,11.42585288,11.37213354,12.852131505,11.200758,11.34804037,9.7603482115,15.000088730000002
