probe,group1,group2,p_value
206642_at,CIN2,CIN3,1.0
206642_at,CIN2,Cancer,0.5244514268405963
206642_at,CIN2,Normal,1.0
206642_at,CIN3,Cancer,1.0
206642_at,CIN3,Normal,0.12398775323594072
206642_at,Cancer,Normal,0.02416024629526092
1560712_at,CIN1,CIN2,1.0
1560712_at,CIN1,CIN3,0.6994996598026525
1560712_at,CIN1,Cancer,0.0003113605794216023
1560712_at,CIN1,Normal,1.0
1560712_at,CIN2,CIN3,0.059125368233182325
1560712_at,CIN2,Cancer,7.681407414395347e-07
1560712_at,CIN2,Normal,1.0
1560712_at,CIN3,Cancer,0.011581193839428116
1560712_at,CIN3,Normal,0.02498690143847257
1560712_at,Cancer,Normal,1.3134919752376316e-07
220267_at,CIN1,CIN2,0.31111774135295645
220267_at,CIN1,CIN3,1.0
220267_at,CIN1,Cancer,0.7709946248197063
220267_at,CIN1,Normal,1.0
220267_at,CIN2,CIN3,1.0
220267_at,CIN2,Cancer,3.878660071187438e-05
220267_at,CIN2,Normal,1.0
220267_at,CIN3,Cancer,0.0008603633289004627
220267_at,CIN3,Normal,1.0
220267_at,Cancer,Normal,0.02136408368378955
217022_s_at,CIN1,CIN2,1.0
217022_s_at,CIN1,CIN3,1.0
217022_s_at,CIN1,Cancer,1.0
217022_s_at,CIN1,Normal,1.0
217022_s_at,CIN2,CIN3,1.0
217022_s_at,CIN2,Cancer,1.0
217022_s_at,CIN2,Normal,1.0
217022_s_at,CIN3,Cancer,1.0
217022_s_at,CIN3,Normal,1.0
217022_s_at,Cancer,Normal,1.0
220620_at,CIN1,CIN2,1.0
220620_at,CIN1,CIN3,1.0
220620_at,CIN1,Cancer,0.035916145950902145
220620_at,CIN1,Normal,1.0
220620_at,CIN2,CIN3,1.0
220620_at,CIN2,Cancer,0.10309762839355269
220620_at,CIN2,Normal,1.0
220620_at,CIN3,Cancer,0.7055323204584496
220620_at,CIN3,Normal,0.09812331578368347
220620_at,Cancer,Normal,0.0006368095100840719
213240_s_at,CIN1,CIN2,1.0
213240_s_at,CIN1,CIN3,0.10989916955807068
213240_s_at,CIN1,Cancer,4.762483862040988e-06
213240_s_at,CIN1,Normal,1.0
213240_s_at,CIN2,CIN3,1.0
213240_s_at,CIN2,Cancer,0.0004308363782823065
213240_s_at,CIN2,Normal,1.0
213240_s_at,CIN3,Cancer,0.004928460234022593
213240_s_at,CIN3,Normal,0.1305317306135757
213240_s_at,Cancer,Normal,7.019050350494862e-07
