group,220090_at,226067_at,205900_at,230835_at,226147_s_at,204623_at,223720_at,229659_s_at,202018_s_at,212768_s_at,213432_at,207802_at,205979_at,224328_s_at,206642_at,1560712_at,220267_at,217022_s_at,220620_at,213240_s_at
CIN1,1.6696703759810847,5.372722140249276,4.621504811255044,3.249366384106324,4.253463992024589,4.310334505029441,4.333788208873313,4.0308862026501115,3.749368080515223,3.613679429011052,3.925195682677923,3.835177550896792,3.9712918328200857,4.151497509071975,2.777745625158281,2.736690043999473,3.3782752837663446,4.621395479695239,3.6282878253229107,0.5568009509761895
CIN2,2.130962104707578,5.284460812744887,4.104403029057493,4.194559924122067,4.59013021195582,5.191375774003437,3.4222671120290244,4.3565706854311514,4.895454544670995,3.7477946898737233,4.860891698428324,3.7621079943983537,5.04123822672243,4.118006109851337,4.356411014507096,2.804862042622291,4.3344175078744325,4.299104199232145,3.6537927167615742,2.093915696356171
CIN3,4.786971469153212,5.356916275319506,4.902203815902363,5.081469695160051,4.366314729433092,4.584735860935332,4.402061785563635,4.2535395975651795,4.513127018242367,4.601493787850626,4.46164748291546,3.791084532939702,4.157684740681867,4.225754739184897,4.1291766620898205,3.7618984213431528,3.761687577012642,4.26700300385623,3.797687002898503,3.7759407341933584
Cancer,4.0076068744018665,2.4114804004215356,5.265655779020777,4.7666859807719835,2.7604659012212207,1.9304465177610362,3.5741426006340657,2.491148228098312,3.6627159074130518,4.944252752165716,1.7063901012916773,2.281566068898888,2.7911208081410135,3.0496059162762332,3.8585331959211,3.3912026308936007,3.19654735067262,3.83597239960388,2.7699194970232828,4.6997997672529
Normal,3.8185500652697355,5.561823953042367,4.5655553760129735,4.675230011175143,4.931261820886412,5.146829442463424,4.857467590785122,4.778226195952942,4.865493111230965,3.7708323143447053,4.71706346703218,2.307184790172631,4.7535293288405605,4.668438634125073,4.119212343618966,3.484894267703546,4.5669168833263925,4.29240146169524,4.777073220520821,3.0068707113653517
