sample_id,220090_at,226067_at,205900_at,230835_at,226147_s_at,204623_at,223720_at,229659_s_at,202018_s_at,212768_s_at,213432_at,207802_at,205979_at,224328_s_at,206642_at,1560712_at,220267_at,217022_s_at,220620_at,213240_s_at,group
GSM1551342,14.99770348,1.263548868,12.57751537,15.23621645,1.848057211,4.155409489,15.52186336,3.609928495,2.207374068,13.19339171,2.161207865,15.79361393,3.542378146,15.24211594,11.89111293,14.76951722,4.88561096,1.682759177,10.08188567,15.38465907,CIN1
GSM1551343,14.72259664,11.91423577,14.95518303,14.34698329,12.68929732,11.9928489,12.3723732,12.15506106,6.961656691,5.053810304,9.723073569,11.04560421,12.22234951,5.065913213,10.36880477,12.19017898,11.85632093,13.05908789,8.506839548,15.30945248,CIN1
GSM1551344,15.10658032,3.159574848,15.44510329,15.22109629,9.59262564,8.316440221,12.83391248,9.035666102,7.891656327,13.79720857,5.787463943,13.51784381,7.918129038,13.42168645,13.69636527,13.5780745,14.36252694,1.303615831,11.43974893,13.65562501,CIN1
GSM1551345,12.9357898,13.21494936,11.24633732,13.69752352,13.93377433,13.37114271,2.454031178,13.4142629,13.41616727,13.18864354,12.24103269,9.660875452,12.4714221,3.975293935,9.712934331,7.903088132,3.822964085,14.98170504,2.76656168,14.99703522,CIN1
GSM1551346,9.818000632,13.59745861,1.94315046,2.683338588,14.04578193,13.93152011,4.774439585,13.98896381,11.07669247,13.20336313,12.81462178,6.595635662,13.12052563,3.671806451,2.50744143,5.768993963,4.368081921,14.80122088,1.313945206,14.49132354,CIN1
GSM1551347,10.87256109,1.230877739,13.67787496,14.14504976,9.625630013,2.902794224,2.683255677,9.34399831,6.892044381,4.86601947,7.007351841,3.733147283,7.500349681,8.530112528,12.25854439,6.536820307,13.13131775,14.09960233,6.277744336,13.85016095,CIN1
GSM1551348,14.68958497,13.58637624,13.31702717,15.42709472,12.66852284,10.89554983,12.93591673,12.88481597,13.56484981,15.18552431,11.80969666,13.41018649,11.66354908,10.81317253,12.17876375,13.03816157,11.75863729,14.88276089,9.850296517,15.31895631,CIN1
GSM1551349,14.76962874,1.693460904,13.87534687,15.05846055,8.230413273,2.542649667,14.40582394,5.070161006,2.211842523,10.73541815,2.555005169,14.61056093,2.957865973,13.76551607,12.27270222,13.88876254,4.459381694,2.17285633,12.60334645,14.96306372,CIN2
GSM1551350,9.501606802,3.686696081,7.795211745,12.7518867,12.08594916,9.332073783,6.265307082,11.33119941,6.778214719,15.49009191,8.723072757,3.82094585,12.52802347,6.51757891,2.575594491,10.39091086,5.532970537,13.19615381,2.12585613,11.84735289,CIN2
GSM1551351,8.883680281,8.512598288,1.691815223,2.726035246,12.56066377,4.0367545,5.220963512,10.62414789,2.21069618,15.88813759,2.557297715,4.070788881,8.875541008,6.720248254,2.808040673,6.159590723,7.149603806,1.705608351,1.110932051,14.38628887,CIN2
