group,220090_at,226067_at,205900_at,230835_at,226147_s_at,204623_at,223720_at,229659_s_at,202018_s_at,212768_s_at,213432_at,207802_at,205979_at,224328_s_at,206642_at,1560712_at,220267_at,217022_s_at,220620_at,213240_s_at
CIN1,13.571247780857144,7.232606222285715,11.300905311785714,13.817759034857144,9.550075411071429,7.534290625142857,9.89134948892857,9.335341176285713,7.217496888785715,10.761435988142859,6.754667879,9.877853655928572,7.7414453555,8.038732750642856,10.797215486285713,11.287733465857142,8.497604514142857,11.340527747714287,7.125462334142858,14.805417027142857
CIN2,13.26134683981818,8.161483911863636,11.500168395954546,12.287222842727273,10.416443601272727,8.446074332318181,10.548932556954545,10.099048363954545,7.911403993681819,12.543897320454546,7.699160223318182,10.492355973909092,8.963743317818182,8.726630014545455,8.192638437545455,11.7471689065,11.604182086090908,11.004802347954545,6.63975585059091,13.721538726045454
CIN3,10.057615887725,7.63608886575,10.2077534049,10.82692266555,9.012546797999999,7.076687102525,7.660782102125,8.871110558949999,7.796341549575,10.278175025125,6.602222686275001,7.6665053138,7.313198627849999,7.295669591899999,6.2419359692,8.9640105855,10.347105244225,11.532582196025,5.253302943675,12.590714492675001
Cancer,3.464773424178571,2.313072954464286,6.367517741142857,7.040743370321429,3.6557094753214288,2.7832653478571427,4.445917655214286,4.206462863285714,4.870926762321429,8.058886579071428,2.6079961071785713,4.4140964697500005,4.194531076321429,4.995784997107143,5.426280908678572,4.823852466214285,6.324124474714286,10.727649478428571,3.325979583107143,8.441958664785714
Normal,12.974098135250001,7.177235665833333,11.595893321958334,12.221629874208332,8.925847380166667,7.932666972791666,10.948218417249999,8.623427675458332,6.172203999250001,10.6645160735,7.0484800925833335,13.320432219125001,7.539216219541667,10.363584332541667,9.407875074083334,11.580283201166667,9.741178350916668,10.378838265291668,8.6665072395,13.901859358958333
